Query,pred
what is one of gene brewer's works,book_from_author
What is the title of a book in the fiction literary genre?,books_in_genre
what type of work is the infinities?,genre
What is the title of a book in the historical fiction literary genre?,books_in_genre
What genre is the book therapy considered to be?,genre
What kind of a book is house,genre
What is an example of a crime fiction book,books_in_genre
what kind of book is dark thane?,genre
what's a book written by r. l. stine,book_from_author
Name a book in the fantasy genre,books_in_genre
Who published athens 2004,publisher
what language was sleepwalking land originally written in?,language
Which book is apart of the literary genre crime fiction?,books_in_genre
what type of genre is ubik?,genre
who published far cry 3: blood dragon,publisher
which genre is the punch and judy murders,genre
what type of book is night work?,genre
what type of book is the towers of toron?,genre
who wrote the icebound land,author_of_book
which language is escape attempt originally written in,language
what novel did paula danziger write?,book_from_author
what kind of book is dreams from my father,genre
what book did donna williams write,book_from_author
What is the genre of the book  signal to noise,genre
what book genre is the end of work,genre
what is the title of a  biography book,books_in_genre
what book was written in the sociology genre,books_in_genre
What kind of book is kingdom come,genre
is the life and adventures of joaquín murieta fiction or non-fiction,genre
what kinds of book is in the grip of winter,genre
what kind of book is conan the wanderer,genre
what is a historical fiction book?,books_in_genre
which book is horror,books_in_genre
who is the author of probability sun?,author_of_book
What is the name of an economics book,books_in_genre
What book did andre norton write?,book_from_author
who is the author of extreme measures?,author_of_book
what is a work by  isaiah berlin,book_from_author
What was the title of written work by eugene ionesco?,book_from_author
What is the title of geoffrey canada's memoir?,book_from_author
who wrote the soul of a new machine,author_of_book
Who is a publisher of the game final lap 3,publisher
what kind of book is the autumn castle,genre
which book was written by david sedaris,book_from_author
What is the name of a book in the crime fiction genre,books_in_genre
What type of book is moreta: dragonlady of pern,genre
What's an example of fiction novel,books_in_genre
what is a book in the fantasy genre,books_in_genre
What is one of David eddings' fantasy books,books_in_genre
Who wrote cherie priest,book_from_author
what is the original language of the written work the everafter war?,language
what is a book written by alfred russel wallace,book_from_author
Who published the game  halo: combat evolved,publisher
what book title by catherine cookson is a  romance novel,books_in_genre
what kind of book is the exile kiss,genre
what genre of fiction is touch not the cat,genre
Who is the publisher behind the game rock band 3?,publisher
What type of fiction book is the tombs of atuan,genre
whats the title of a work of fiction,books_in_genre
what company made jurassic park interactive?,publisher
who published the game power stone,publisher
which company published rogue trooper?,publisher
what was written by david sedaris,book_from_author
which language is written in the flying saucer mystery,language
What novel did thomas bernhard write?,book_from_author
Name a romance novel,books_in_genre
who authored the book charity girl,author_of_book
Which book is a fiction book?,books_in_genre
Who wrote 30 days of night: immortal remains,author_of_book
what book genre is path of unreason?,genre
Name a book in the science fiction genre,books_in_genre
Name a fictional written by M. P. Shiel?,books_in_genre
"What genre is the book ""Unicorn Variations""?",genre
Name a book by the author brian lumley,book_from_author
Who published glider rider?,publisher
who wrote salvador,author_of_book
Who is the author from green tea and other ghost stories,author_of_book
What is the original language of the book kill the messenger?,language
what is a book written by the author julian cope,book_from_author
who is the author of banker to the poor,author_of_book
what kind of book is on photography?,genre
which book is suspense,books_in_genre
what book is considered a short story,books_in_genre
what book has evelyn underhill written,book_from_author
Name a science fiction book,books_in_genre
how can dealing with dragons be classified by genre,genre
what books have francine pascal written,book_from_author
what works is written by richard laymon,book_from_author
Name a novel,books_in_genre
Who made brothers in arms: double time,publisher
which company published colony wars,publisher
what type of fiction was the book the omnibus of time,genre
what kind of book is heroic visions,genre
what is the genre of the book wolf totem,genre
what book was written by rabindranath tagore?,book_from_author
what type of book is the shadow wave,genre
what is the original language of hard eight?,language
What kind of book is the thousandfold thought,genre
what book is by george macdonald fraser?,book_from_author
which genre is the book the house on the borderland,genre
who released nhl hockey,publisher
what work did cynthia rylant write?,book_from_author
What book did stephen colbert write?,book_from_author
Which genre of book is the picture of dorian gray,genre
What genre of book is the rising,genre
What type of writing is the white sister book?,genre
Who wrote lavondyss,author_of_book
who wrote conan the barbarian?,author_of_book
what is the tittle of mary higgins clark's book,book_from_author
what is a suspense book written by agatha christie,books_in_genre
what kind of fiction is the prize in the game,genre
what genre of fiction does the supernaturalist belong to?,genre
Who published picross 3d,publisher
whats the original language that was used in  falling onto mars,language
who wrote i hope they serve beer in hell,author_of_book
who wrote the book success,author_of_book
What genre of book is earth hive,genre
What's a suspense book by gail simone,books_in_genre
Who is an individual that had a biography written about them,books_in_genre
what kind of novel is a passage to india,genre
Name a fiction book.,books_in_genre
who authored the the fifth elephant,author_of_book
"What genre does the book mara, daughter of the nile fall in?",genre
who wrote the year of the death of ricardo reis,author_of_book
Name a reference book,books_in_genre
what style of work is flashman in the great game?,genre
what type of book is eleven on top?,genre
what was written by louise penny,book_from_author
what is an example of a speculative fiction book,books_in_genre
what work was amory lovins the author of,book_from_author
what is the name of a fiction book featuring a collection of short stories,books_in_genre
What's a book that deals with philosophy,books_in_genre
what language was wedge: the secret war between the fbi and cia originally written in,language
what company produced the action game milons secret castle,publisher
hillary rodham clinton wrote what book?,book_from_author
who was the author of the book left behind,author_of_book
what book is about anthology?,books_in_genre
which written genre is the chick is in the mail,genre
who is the videogame publisher of captain tsubasa j: the way to world youth,publisher
what type of fiction is new writings in sf 4,genre
the robber bridegroom is what kind of book?,genre
What genre of book is the pale horse?,genre
Who published phoenix?,publisher
who was the author of the dead father,author_of_book
which publisher was behind the game ant attack,publisher
what book genre is parable of the sower?,genre
whats the title of a science fiction book,books_in_genre
What's would be called a speculative fiction book,books_in_genre
what book is written by danielle steel?,book_from_author
What is a work written by ken auletta?,book_from_author
Name a fiction book,books_in_genre
What is the title of a science fiction book?,books_in_genre
what is the genre of voyage to faremido,genre
who wrote flush: a biography,author_of_book
What's a notable science fiction book,books_in_genre
what sort of book is the hot kid,genre
what is a fictional book?,books_in_genre
what works has donald hamilton written,book_from_author
who wrote the death of bunny munro,author_of_book
what is a philosophy book?,books_in_genre
which author wrote the book shorter views,author_of_book
which french philosopher wrote the book anti-semite and jew?,author_of_book
what kind of book is a taste for death,genre
what is the genre of a talent for war,genre
what literary genre is the book  tirra lirra by the river,genre
who is the author of diamonds,author_of_book
what book is in the fantasy genre,books_in_genre
What style of book is boba fett: hunted?,genre
what kind off book is upon some midnights clear,genre
what is a fiction book,books_in_genre
What is the name of a book in the literary genre of historical fiction?,books_in_genre
Who is the publisher for the videogame High School Musical 2: Work this Out!?,publisher
What company published lightspeed?,publisher
Which genre is the book valley of the squinting windows from,genre
What's a book made by douglas preston,book_from_author
what company released fire emblem: the sacred stones?,publisher
what genre is 253?,genre
What is a fiction book title?,books_in_genre
what is one of john saul's written works,book_from_author
what type of genre is the book the tower at stony wood?,genre
what book genre is the lost symbol,genre
what genre is the book armageddon in retrospect,genre
which genre is the living in,genre
What is the original language of the book the aquitaine progression,language
Name a book that author gary gygax has written,book_from_author
what is a fiction book title,books_in_genre
what book genre is roadside picnic?,genre
who is the publisher for the game lego star wars iii: the clone wars?,publisher
What's a spy novel written by ken follett,books_in_genre
what is a book from the mystery genre,books_in_genre
which author wrote infidel,author_of_book
the talismans of shannara was written in what language originally,language
What's a book about nature,books_in_genre
Is trust me a short story or a novel,genre
what theme is the book the armies of memory,genre
What is a book written by thomas merton,book_from_author
what type of written work is pushing ice?,genre
Which genre of book is conan and the amazon considered to be,genre
what is a science fiction book?,books_in_genre
Whats example of a speculative fiction film,books_in_genre
what's one of edmund blunden's works,book_from_author
what's a title of a psychology book,books_in_genre
what is a book written by laurie r. king,book_from_author
What is a book about speculative fiction?,books_in_genre
What is the name of a speculative fiction book,books_in_genre
what's a book that sits firmly in the fantasy genre,books_in_genre
who plublished frogs,publisher
What is the title of a travel book?,books_in_genre
Name a science fiction book.,books_in_genre
What is the name of  an autobiography,books_in_genre
What genre of book is florante at laura?,genre
"what literary genre is the million-year centipede, or, liquid structures categorized as",genre
what book is written by paul stamets?,book_from_author
which book is fiction,books_in_genre
What is the genre of the book the mark of the horse lord,genre
who wrote grantville gazette ii,author_of_book
what book is considered autobiography?,books_in_genre
what is a fiction book,books_in_genre
which book is in the short story literary genre,books_in_genre
what kind of book is imajica,genre
what genre is modesty blaise,genre
what book genre is the last battle,genre
What genre is necroscope v: deadspawn?,genre
Name a book from the speculative fiction Animorphs series.,books_in_genre
who authored a kiss before dying?,author_of_book
what language was love and summer written in,language
What's a fantasy book written by holly lisle,books_in_genre
what kind of book is these our actors,genre
what books have michelle tea written,book_from_author
who is the publisher of king of clubs?,publisher
Name a book biography.,books_in_genre
who is the author of yonder,author_of_book
Who authored prince caspian,author_of_book
who was the author of the kingdom of this world,author_of_book
Who is the publisher for mutant herd,publisher
what is a steampunk novel,books_in_genre
who developed the cliffhanger: edward randy,publisher
who is the writer of dragon seed,author_of_book
what type of book is look to the lady,genre
which author wrote how the grinch stole christmas!,author_of_book
What genre of book is serpent mage,genre
what was written by john ruskin,book_from_author
who wrote the work uglies?,author_of_book
what book did alan garner write,book_from_author
what are some business books?,books_in_genre
what company did produce headhunter redemption,publisher
what kind of book is the thanatos syndrome,genre
What is the genre of the book sunnyside?,genre
what books have ian kershaw published?,book_from_author
What kind of book is spirit of the wind,genre
What is the genre of book bird girl and the man who followed the sun?,genre
What book falls under the literary genre of fantasy?,books_in_genre
What did barry miles write?,book_from_author
what is one of leslie mcfarlane's works,book_from_author
Author susanna kaysen wrote what work,book_from_author
who wrote doubt: a parable,author_of_book
what's the title of a fiction book,books_in_genre
What's a body of work written by ruth rendell,book_from_author
whats the title of a fiction book,books_in_genre
who is a science fiction character created by suzanne collins,books_in_genre
who was the author of the book puppet on a chain,author_of_book
What is the name of a short story book?,books_in_genre
What is the genre of the book stone spring,genre
What's a notable science fiction book,books_in_genre
what book genre is the man who japed?,genre
What is a work authored by jeffrey eugenides?,book_from_author
what sort of book is the white album,genre
what book genre is city of night,genre
What type of book is my ishmael,genre
what type of novel is the mill on the floss,genre
What is the title of a fiction book?,books_in_genre
what is the name of a 2000 fantasy book,books_in_genre
What genre is the book Bad Business?,genre
who is the author of the hardcore diaries,author_of_book
What genre is the book dancing with mermaids?,genre
what books has karen hesse written,book_from_author
What is a work authored by howard waldrop?,book_from_author
what book genre is redemption ark?,genre
triple jeopardy falls under what book genre?,genre
What author wrote alanna: the first adventure?,author_of_book
what are book which topic is suspense,books_in_genre
what is a book published under the literary genre poetry?,books_in_genre
who is the publisher of goemons great adventure,publisher
What is the genre of the book the captives of kaag,genre
What is the genre of the book titled the dark world,genre
what is a book in the literary fiction genre?,books_in_genre
who was the publisher of socom: u.s. navy seals,publisher
What is the name of a novel,books_in_genre
what is the subject of the sailor who fell from grace with the sea,genre
Who was the author of the telling,author_of_book
What is a book written by luo guanzhong,book_from_author
what type of book is the republic of wine,genre
what kind of book is hons and rebels,genre
What's a book written by joe r. lansdale,book_from_author
what genre does the book stay fall under?,genre
What's a book that falls under speculative fiction,books_in_genre
What genre of book is forest of secrets?,genre
What book genre is frost at christmas,genre
what type of book is mendoza in hollywood,genre
Where was clarence williams born?,books_in_genre
what is a fiction book?,books_in_genre
What genre is the book bridge of souls,genre
what types of book is micah,genre
Name a work written by max beerbohm,book_from_author
who authored dragonfly: nasa and the crisis aboard mir?,author_of_book
what literary genre does the negotiator fall under,genre
what type of book was the master,genre
who wrote la reine margot,author_of_book
What is a work written by harry turtledove?,book_from_author
who wrote crown of slaves?,author_of_book
which scientific works were written by victor j. stenger?,book_from_author
Who is the publisher behind shinobi iii: return of the ninja master?,publisher
who authored the book the copper elephant,author_of_book
What is the name of a suspense book,books_in_genre
Name a work written by jhumpa lahiri,book_from_author
what language was jack-in-the-box originally written in,language
who is the author of bin laden: the man who declared war on america?,author_of_book
what genre is the separation,genre
who wrote the weapon shops of isher,author_of_book
What author wrote the big bounce?,author_of_book
Who was the publisher of the computer game the paranoia complex,publisher
who authored entertaining mr sloane,author_of_book
which book is fiction,books_in_genre
what kind of genre is in the joy of sex,genre
What genre is from weird and distant shores,genre
whats the name of a coffee table book,books_in_genre
Name a fiction book.,books_in_genre
What's a book authored by leslie charteris,book_from_author
who wrote the martian child,author_of_book
what book did p. d. ouspensky write,book_from_author
What is a book written by frank herbert?,book_from_author
what type of book is dark secret,genre
what is the genre of the book the vision of the anointed,genre
which company published star trek: voyager – elite force,publisher
What publisher released cricket 97?,publisher
What is an example of a horror book?,books_in_genre
What literature genre is the book a case of need categorized under,genre
What's an example of an autobiography,books_in_genre
What is a cartoon that jeff smith (cartoonist) had written,book_from_author
What is the name of a poetry book?,books_in_genre
what kind of book is my life,genre
What did julia donaldson write?,book_from_author
what is a fiction book?,books_in_genre
what type of work is the born queen?,genre
what type of book is the gospel according to jesus christ?,genre
Who published ignition,publisher
Which Japanese company published the star trek video game?,publisher
what book is written by jenny nimmo,book_from_author
Name a fictional literary work,books_in_genre
Name a book written by david almond,book_from_author
Under what publishing company was ONI released?,publisher
What is the name of a suspense novel,books_in_genre
what type of book is tailchaser's song,genre
what is a work written by leslie mcfarlane,book_from_author
who is the author of the written work getting things done?,author_of_book
what kind of book is 2001: a space odyssey,genre
what are the works of mary pope osborne,book_from_author
which language is written in black book,language
Name a fiction novel.,books_in_genre
Name a nature literary work,books_in_genre
Who was the author of goldilocks,author_of_book
what is the name of a biography book,books_in_genre
what is one of robert caro's works,book_from_author
what genre is the book grievance,genre
james risen is the author of what book?,book_from_author
what book is written by vincent starrett?,book_from_author
What kind of book is the slaves of solitude?,genre
What gaming company published pac-man world 3,publisher
what famous author wrote the gilded age: a tale of today,author_of_book
what type of book is land of unreason,genre
what book is written by fawn m. brodie?,book_from_author
what book genre is the dark frontier?,genre
What is a book whose literary genre is sociology?,books_in_genre
what book is fiction?,books_in_genre
What is the name of an adventure book?,books_in_genre
what company published the settlers ii 10th anniversary,publisher
What is the name of a book that is classified as detective fiction,books_in_genre
what famous name was the author of the book your heiress diary: confess it all to me,author_of_book
what books have orson scott card written?,book_from_author
what types of book is breaking open the head,genre
what is a book written by edward irving wortis,book_from_author
What is the genre of the book dragons of argonath,genre
what genre is the book patriot games,genre
Which book is a novel?,books_in_genre
what genre is the book kleinzeit?,genre
which book was written by sebastian junger,book_from_author
what books did helen fielding write?,book_from_author
Who is the author of the novel of mice and men?,author_of_book
who is the author of jane and prudence,author_of_book
who published the computer game uefa champions league 2006–2007,publisher
WHat genre of book is silence of the grave,genre
What is the genre of the book zathura,genre
who was the publisher of the game  dark earth,publisher
what is the genre for the book payasos en la lavadora,genre
What's a fantasy book written by shakespeare,books_in_genre
What is a book in the speculative fiction genre,books_in_genre
what is a 1987 speculative fiction novel,books_in_genre
what was written by tim wise,book_from_author
who is the publisher of metal gear acid,publisher
who is the publisher of echo delta,publisher
what type of book is drome,genre
what is the publishing company of endless ocean 2: adventures of the deep,publisher
who is the author of the book the evidence of things not seen,author_of_book
What is a book that is considered to be fiction,books_in_genre
What genre is the book city of light?,genre
what is the name of a romance novel,books_in_genre
what is the book genre of chocky?,genre
Who was the author that wrote freckles,author_of_book
Which genre of books does finding myself belong to?,genre
name a 2003 speculative fiction  book,books_in_genre
What sort of book is the perilous road,genre
what is an example of a picture book?,books_in_genre
What's a notable reference book,books_in_genre
what types of book is tuckets gold,genre
Who wrote a person of interest,author_of_book
what kind of book is wide sargasso sea,genre
whats the genre of the book 1942,genre
what is a book in the genre mystery,books_in_genre
What is a book that robert asprin wrote?,book_from_author
what is a book within the fiction genre,books_in_genre
what is the producer company of jerusalem: the three roads to the holy land,publisher
what kind of book is to live forever,genre
who write the book paradise news,author_of_book
what's a book that talks about economics,books_in_genre
What genre of book is the empress of mars?,genre
what is a 1913 historical fiction book,books_in_genre
what is a science fiction book?,books_in_genre
"Who was the author of ""Redeeming Love""?",author_of_book
What is the original language of the book the body artist,language
What's a book written by virginia hamilton,book_from_author
who published rtx red rock,publisher
What is the genre of sunrise alley?,genre
what kind of book is slow river,genre
what genre of fiction is see delphi and die,genre
Name a fiction book.,books_in_genre
What language was borges and i written in,language
Which book is lane smith known for,book_from_author
what is the name of a fiction book,books_in_genre
what work was written by author  michael swanwick,book_from_author
what book genre is search and destroy,genre
who authored the valley of bones,author_of_book
what type of book is nightrise?,genre
what book is considered thriller (genre)?,books_in_genre
who published the longest journey,publisher
Which genre of book is mrs mcginty's dead?,genre
What company published the game brothers: a tale of two sons,publisher
which style of work is last human?,genre
what is a biography?,books_in_genre
What kind of a book is the boy and the darkness,genre
Name a literary science fiction book?,books_in_genre
who is the publisher of the charlie and the chocolate factory video games?,publisher
what is the tittle of a fantasy and horror novel by John Steakley,books_in_genre
What is a work authored by daniel defoe?,book_from_author
"what kind of book is i, claudius",genre
What genre was the book the key to midnight,genre
which publisher published war gods,publisher
what is the original language of the written piece dreams of my russian summers,language
who published the computer videogame twisted metal: small brawl,publisher
what type of book is the loser (book),genre
the seekers is what genre of book,genre
what kind of fiction book is a garden of earthly delights,genre
What sort of book is the black book,genre
what is a work by edward stratemeyer,book_from_author
who is the author of the written work the viceroy of ouidah,author_of_book
what is a book in the fiction section,books_in_genre
who was the publisher for 'splosion man,publisher
What kind of a book is the man of feeling,genre
Who wrote the book the sword of the dawn?,author_of_book
what book has laura ingalls wilder written,book_from_author
what is a book in the fantasy literary genre,books_in_genre
which company published over the reich?,publisher
What kind of a book is audition: a memoir,genre
which book is suspense,books_in_genre
what genre is the book the 37th mandala,genre
what is the original language for the book  and the rain my drink,language
what are some of the plays written by noel coward?,book_from_author
What is an example of erotic literature,books_in_genre
what kind of book is more than human,genre
is bloodhype a fantasy book or romance,genre
what's a book that qualifies as fiction,books_in_genre
what is a book about nature,books_in_genre
WHat's a book dealing with sociology,books_in_genre
what is a romance novel written by Iris Rainer Dart,books_in_genre
which picture book is written by lane smith?,books_in_genre
what type of book is the gods themselves,genre
What's an example of a novel,books_in_genre
Who authored a dream of wessex?,author_of_book
Who published the computer videogame midnight magic?,publisher
what is the name of a speculative fiction book,books_in_genre
what genre is reunion,genre
what book is written by john green?,book_from_author
what book is about speculative fiction?,books_in_genre
who is the author of jihad vs. mcworld?,author_of_book
Name a mystery book.,books_in_genre
what is the publisher for nhl 06,publisher
what book genre is stories of darkness and dread?,genre
What is one of stan lee's famous works?,book_from_author
what book is a type of philosophy genre?,books_in_genre
What is the literary genre of speculative fiction?,books_in_genre
What genre of book is new moon (novel)?,genre
Name a science fiction book involving vampires,books_in_genre
who is the publisher for the xiii video game,publisher
What is a work by fawn m. brodie?,book_from_author
what book genre is temple,genre
what sort of book is incendiary,genre
what genre book is a history of warfare?,genre
What is an example of a mystery novel?,books_in_genre
Name a science fiction book,books_in_genre
Name a biography book,books_in_genre
What is a book that is considered to be fiction?,books_in_genre
what type of book is  tales from the nightside,genre
What company made the game fahrenheit,publisher
what is a fantasy book?,books_in_genre
what is genre of jack & jill,genre
Who is the publisher of pacific fighters,publisher
What's an example of a novel,books_in_genre
who wrote the book nicolae,author_of_book
What kind of book is the twilight of briareus,genre
what genre is the book tarzan triumphant,genre
Name a fictional book,books_in_genre
Name a fictional book,books_in_genre
whats the name of a biography book,books_in_genre
What genre does the book the golden ball and other stories belong to,genre
who published the video game csi: deadly intent,publisher
What is a book in the reference genre?,books_in_genre
What kind of book is sometimes the magic works?,genre
what is the genre of deaths shadow,genre
What is the genre of the book untouchable?,genre
what is a piece written by lillian faderman,book_from_author
who is the author of the art of detection?,author_of_book
What kind of book is fifty-one tales?,genre
What language was the sunrise lands originally written in,language
Who is the publisher of prototype (video game)?,publisher
is self-efficacy a history or psychology book,genre
what type of book is a medicine for melancholy,genre
Who published the computer videogame the simpsons: bart's house of weirdness,publisher
Who is the author of the book city of djinns,author_of_book
what is a book by emile durkheim,book_from_author
"whats the original language of the written work titled  gods, demons, and others",language
what is a book in the mystery genre,books_in_genre
what is the producer company of the spongebob's atlantis squarepantis game,publisher
who wrote stars in my pocket like grains of sand,author_of_book
what is an example of a book in the psychology literary genre?,books_in_genre
What genre is against a dark background,genre
what book is a type of fantasy genre?,books_in_genre
what book did joe haldeman write,book_from_author
what kind of book is anglo-saxon attitudes?,genre
What's a book written by greg egan,book_from_author
what kind of book is mister monday?,genre
Who was the author of the fireclown?,author_of_book
who is the author of the road to dune,author_of_book
who wrote showdown?,author_of_book
what are science fiction books?,books_in_genre
what book titles are speculative fiction,books_in_genre
what is the original language of runaway horses,language
Who wrote the book bee season,author_of_book
who is the author of summertime,author_of_book
What is the genre of the book the history of the standard oil company,genre
what is a kind of science fiction book?,books_in_genre
what book genre is murder by family?,genre
is a letter to amy fiction or non-fiction,genre
what language was on the field of glory originally written in?,language
what kind of book is captives of the flame,genre
What is the title of a spy novel,books_in_genre
Who authored the red tree,author_of_book
what type of book is  girlfriend in a coma,genre
who wrote gameprey,author_of_book
who published the videogame advanced dungeons & dragons: cloudy mountain,publisher
whats a suspense themed book,books_in_genre
what's the title of a fantasy short story anthology,books_in_genre
what is a gamebook series called,books_in_genre
what is the genre of the book the english assassin: a romance of entropy,genre
what's an example of an autobiography,books_in_genre
who published neo contra,publisher
what's the name of a popular japanese to portuguese dictionary,books_in_genre
what book genre is lazarus rising,genre
Which genre of book is bin laden: the man who declared war on america?,genre
who published the video game fable (video game),publisher
is a song for summer a romance novel or drama,genre
what is the name of a work done by  gary paulsen,book_from_author
What's an example of a suspense book,books_in_genre
what is the subject of survivors quest?,genre
which publisher was behind  age of conan: unchained,publisher
What company published nascar 07?,publisher
"who wrote \\""w\\"" is for wasted",author_of_book
what are the books elfriede jelinek has authored,book_from_author
Who wrote the book strega,author_of_book
Who wrote the case of the toxic spell dump,author_of_book
What would be called speculative fiction,books_in_genre
what kind of book is the graveyard shift?,genre
What's a fiction book released in 1994,books_in_genre
what's the title of a science fantasy book,books_in_genre
What's a book written by john reynolds gardiner,book_from_author
what is the genre for the book  players,genre
what is a science fiction book?,books_in_genre
who is the author of empire of ivory?,author_of_book
who was the author of the end of eternity,author_of_book
what the genre classification of the book the servants of twilight?,genre
what is the original language that tarzan and the lion man is in,language
which type of book is the echo under?,genre
"Who was the author of bill, the galactic hero?",author_of_book
what did lysander spooner author,book_from_author
which book belongs to the fiction literary genre,books_in_genre
what company did publish brothers in arms ds game,publisher
"Who wrote \\""l\\"" is for lawless?",author_of_book
What is the name of a popular book written by poul anderson,book_from_author
who was the publisher of the game  jersey devil,publisher
what type of book is the far shore of time?,genre
what kind of book is st. ives,genre
Name a romance novel,books_in_genre
what genre is the book fletch won,genre
what genre is the dark man and others,genre
is bloodline fiction or non-fiction,genre
"what literary genre is  days of war, nights of love",genre
Who publishes the game you are empty,publisher
What is the name of a psychology book?,books_in_genre
what book is a speculative fiction genre?,books_in_genre
What is the genre of the book down and out in the magic kingdom,genre
what book is a type of suspense book?,books_in_genre
which retelling of a classic story was written by langston hughes?,book_from_author
what is the genre discussed in nation,genre
What kind of book is magic street?,genre
The power rangers dino thunder game was published by what American company?,publisher
what is a fiction genre book?,books_in_genre
Who authored first on the moon,author_of_book
what books have lew wallace written?,book_from_author
What is the name of a short story?,books_in_genre
What is a book by michael lewis (author)?,book_from_author
what language is cyteen written in,language
What is the history of the book of jonah,genre
Name a nature book.,books_in_genre
What is an example of a mathematics book?,books_in_genre
What genre of books are jennifer crusie famous for?,book_from_author
what classification is the book the magician,genre
Who is the author of the honourable schoolboy?,author_of_book
What is the genre of lucky starr and the pirates of the asteroids?,genre
what book is sicence,books_in_genre
which Quintin Jardine book qualifies as literary fiction,books_in_genre
what kind of book is ragtime?,genre
who wrote taking steps,author_of_book
what book is written by agatha christie?,book_from_author
what book genre is track of the zombie,genre
What is the name of the publisher for the video game Soldier Blade?,publisher
who is the author of star trek,author_of_book
what is the name of a known autobiography book,books_in_genre
what kind of book is solaris,genre
what's a fiction book by anthony powell,books_in_genre
what kind of book is mcteague,genre
What book would be speculative fiction,books_in_genre
Who published the game freekstyle,publisher
What type of book is bog child,genre
What genre of book is battlefield earth?,genre
Who published genesis rising: the universal crusade,publisher
Who is the publisher of the game shrek super party,publisher
what works have lawrence block written?,book_from_author
who wrote the origins of totalitarianism,author_of_book
what country is maiwa language spoken in,book_from_author
What genre is twice-told tales,genre
What is a book written by colson whitehead?,book_from_author
what is a name of a fantasy book?,books_in_genre
what works have edward de bono created?,book_from_author
which book was written by ernest hemingway,book_from_author
What's a book that deals with business,books_in_genre
what's a science fiction book title,books_in_genre
What has augusten burroughs written,book_from_author
what classification is the two towers,genre
What is a book written by c. j. cherryh?,book_from_author
What style of book is a night in the lonesome october?,genre
Is platinum pohl fiction or non fiction,genre
What language was the gardener made in?,language
What is the name of a book from the economics genre,books_in_genre
what sort of book is the amazing adventures of kavalier & clay,genre
What author wrote letter to a christian nation,author_of_book
Which genre of book is the source?,genre
Who published the videogame the manhole,publisher
Is george and rue fiction or non fiction,genre
what is an example of a science book,books_in_genre
What genre of book is the kingdom of this world,genre
Name a speculative fiction book.,books_in_genre
Who is the author of spires of spirit,author_of_book
which kind of book is raiders of the lost car park,genre
Which genre of book is the thief?,genre
Name a popular fiction book,books_in_genre
who is the author of the work robert b. parker's lullaby?,author_of_book
whats the name of a biography book,books_in_genre
what book is considered fiction?,books_in_genre
what book genre is a dream of wessex,genre
which book in written in the sociology genre,books_in_genre
What genre is the scar,genre
who published spyro: season of ice,publisher
what language was brothers originally in,language
who wrote circle of friends,author_of_book
What is the genre of hunters moon,genre
what is a 1998 speculative fiction book,books_in_genre
who was the writer of acorn antiques: the musical!,author_of_book
What is the name of a fiction book,books_in_genre
what type of literary work is a cry in the night?,genre
what is a fiction book,books_in_genre
What genre of book is pole to pole,genre
Who's the author of coin locker babies,author_of_book
what book can be used as a reference?,books_in_genre
which books have sara paretsky written,book_from_author
who was the author of dune (novel),author_of_book
what company published the game black & white 2,publisher
what is a fiction book,books_in_genre
what genre is the book the four false weapons?,genre
What is the genre of the book the pact?,genre
who is the author of quotations from chairman mao tse-tung,author_of_book
what type of book is angel fire east?,genre
what fiction book is written by jean giono,books_in_genre
what type of book is the good companions?,genre
who was the publisher of metal marines,publisher
which comedy book did david walliams write?,book_from_author
what is the title of the work written by leigh brackett,book_from_author
what company created the game ultima iv: quest of the avatar,publisher
Name a work written by peter ackroyd,book_from_author
What is the original language of bat-manga!: the secret history of batman in japan?,language
what genre is the book and chaos died,genre
what type of book is the company of women,genre
This is the language the black mountain was written in.,language
what kind of book is  the glass cafe,genre
What is the original language of the concubine?,language
what book is about psychology?,books_in_genre
Name a fiction book,books_in_genre
What book did donald e. westlake write,book_from_author
Which genre of book is the parafaith war?,genre
What is the genre of the book called hothouse,genre
who is the author of bloodlines,author_of_book
What kind of book is necropolis?,genre
what are books written by rex stout,book_from_author
who was the author of the startide rising novel,author_of_book
what novel was published in 2007?,books_in_genre
who wrote the story for the book of lost tales?,author_of_book
what is a fiction book,books_in_genre
What sort of book is the war between the tates,genre
what is a piece written by the auther amiri baraka,book_from_author
What is the genre of the book divisadero,genre
who was the publisher of silent hunter 4: wolves of the pacific,publisher
name a romantic novel?,books_in_genre
Name a work by robert b. parker,book_from_author
what is a philosophy book?,books_in_genre
what book style does a warlock in whitby associate with,genre
what genre is the book the seven storey mountain,genre
What is the genre of the book the berlin stories?,genre
Name a fantasy book,books_in_genre
what genre does the house of odd book fall under,genre
who wrote friend of the devil,author_of_book
What is a mystery book?,books_in_genre
what kind of book is thin air,genre
What is an example of a fiction book?,books_in_genre
What genre of book is villa incognito?,genre
who is the publisher for the game south park: chef's luv shack,publisher
"What genre of book is john halifax, gentleman",genre
What is a fiction book?,books_in_genre
What genre is centurion,genre
what book is a fantasy book?,books_in_genre
what kind of book is the scarab murder case,genre
what book is considered a speculative fiction?,books_in_genre
What kind of book is julian?,genre
What was a work written by fred saberhagen,book_from_author
what's a good example of a mystery,books_in_genre
What genre is warmonger,genre
who was the publisher of spyro: year of the dragon?,publisher
What type of book is wanted for murder,genre
Name a horror book.,books_in_genre
who wrote the saint and the hapsburg necklace,author_of_book
what kind of book is the big over easy,genre
